# type (r[1-9];w;u),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment

# Broadcasted messages
r,ariston,z2_night_temp,Z2 Night Temperature,,3c,2000,6372,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z2_night_temp,Z2 Night Temperature,,fe,200f,6372,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,ariston,z2_night_temp,Z2 Night Temperature,,fe,2020,6372,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z3_night_temp,Z3 Night Temperature,,3c,2000,6373,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z3_night_temp,Z3 Night Temperature,,fe,200f,6373,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,ariston,z3_night_temp,Z3 Night Temperature,,fe,2020,6373,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z4_night_temp,Z4 Night Temperature,,3c,2000,6374,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z4_night_temp,Z4 Night Temperature,,fe,200f,6374,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,ariston,z4_night_temp,Z4 Night Temperature,,fe,2020,6374,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z5_night_temp,Z5 Night Temperature,,3c,2000,6375,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z5_night_temp,Z5 Night Temperature,,fe,200f,6375,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,ariston,z5_night_temp,Z5 Night Temperature,,fe,2020,6375,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z6_night_temp,Z6 Night Temperature,,3c,2000,6376,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z6_night_temp,Z6 Night Temperature,,fe,200f,6376,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,ariston,z6_night_temp,Z6 Night Temperature,,fe,2020,6376,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z7_night_temp,Z7 Night Temperature,,3c,2000,6377,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z7_night_temp,Z7 Night Temperature,,fe,200f,6377,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,ariston,z7_night_temp,Z7 Night Temperature,,fe,2020,6377,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z8_night_temp,Z8 Night Temperature,,3c,2000,6378,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z8_night_temp,Z8 Night Temperature,,fe,200f,6378,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,ariston,z8_night_temp,Z8 Night Temperature,,fe,2020,6378,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r2,ariston,z1_room_temp,Z1 Room Temperature,,3c,2000,7118,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z1_room_temp,Z1 Room Temperature,,fe,200f,7118,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z2_room_temp,Z2 Room Temperature,,3c,2000,7218,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z2_room_temp,Z2 Room Temperature,,fe,200f,7218,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z3_room_temp,Z3 Room Temperature,,3c,2000,7318,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z3_room_temp,Z3 Room Temperature,,fe,200f,7318,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z4_room_temp,Z4 Room Temperature,,3c,2000,7418,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z4_room_temp,Z4 Room Temperature,,fe,200f,7418,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z5_room_temp,Z5 Room Temperature,,3c,2000,7518,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z5_room_temp,Z5 Room Temperature,,fe,200f,7518,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z6_room_temp,Z6 Room Temperature,,3c,2000,7618,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z6_room_temp,Z6 Room Temperature,,fe,200f,7618,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z7_room_temp,Z7 Room Temperature,,3c,2000,7718,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z7_room_temp,Z7 Room Temperature,,fe,200f,7718,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z8_room_temp,Z8 Room Temperature,,3c,2000,7818,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z8_room_temp,Z8 Room Temperature,,fe,200f,7818,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
